机构,户头,成交数量,成交单价,买入手续费,成交日期,权益类持仓
蚂蚁聚宝,czh,1388.88,1.310993318,0.001201442,2016/7/18,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1211.62,1.361,0.001203858,2016/8/18,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1297.1,1.336,0.001197051,2016/9/19,基金/谱蓝/118002易方达标普消费品17%
谱蓝,czh,10000,1,0,2016/10/19,基金/谱蓝组合/zh0011谱蓝
支付宝,czh,4.208045784,237.64,0,2015/3/6,基金/黄金ETFI/000930博时黄金ETFI
支付宝,czh,4.214963119,237.25,0,2015/3/22,基金/黄金ETFI/000930博时黄金ETFI
支付宝,czh,0.0349,237.25,0,2015/3/22,基金/黄金ETFI/000930博时黄金ETFI
国泰君安,czh,2900,0.421,0,2016/6/7,基金/分级基金定投/150023深成指B
国泰君安,czh,3000,0.398,0,2016/6/14,基金/分级基金定投/150023深成指B
国泰君安,czh,100,24.41,0.002,2016/6/29,股票/股票雷达跟投/002405四维图新
富国基金,czh,839,1.191895113,0,2015/7/10,基金/进取/161031富国中证工业4.0指数分级
淘宝理财,czh,366.14,2.72300213,0.003,2015/3/22,基金/进取/519670银河行业优选
淘宝理财,czh,334.6760658,2.979,0.003,2015/4/7,基金/进取/519670银河行业优选
淘宝理财,czh,322.0284238,3.096,0.003,2015/4/23,基金/进取/519670银河行业优选
淘宝理财,czh,255.0524431,3.909,0.003,2015/5/25,基金/进取/519670银河行业优选
淘宝理财,czh,227.7815856,4.377,0.003,2015/6/10,基金/进取/519670银河行业优选
淘宝理财,czh,412.6655629,2.416,0.003,2015/6/10,基金/进取/519670银河行业优选
淘宝理财,czh,412.1537826,2.419,0.003,2015/7/12,基金/进取/519670银河行业优选
淘宝理财,czh,528.9124668,1.885,0.003,2015/9/7,基金/进取/519670银河行业优选
淘宝理财,czh,1800.85,1.371,0.006,2016/1/21,基金/进取/519670银河行业优选
银河基金,czh,761.1026034,1.306,0.006,2016/3/21,基金/进取/519670银河行业优选
淘宝理财,czh,717.27,1.389992611,0.003,2016/4/20,基金/进取/519670银河行业优选
国泰君安,czh,814,1.228501229,0,2015/7/10,基金/进取/161024军工etf
国泰君安,czh,200,15.59031552,0.0016,2016/7/1,股票/股票雷达跟投/600837海通证券
国泰君安,czh,100,17.0290591,0.003,2016/7/1,股票/股票雷达跟投/600171上海贝岭
富国基金,czh,2706.48,0.761,0,2016/2/3,基金/进取/161024军工etf
国泰君安,czh,100,16.74346752,0.0016,2016/7/1,股票/股票雷达跟投/600999招商证券
国泰君安,czh,100,9.61,0.0054,2016/7/1,股票/股票雷达跟投/000939凯迪生态
国泰君安,czh,100,8.749711995,0.005737143,2016/7/5,股票/股票雷达跟投/600491龙元建设
国泰君安,czh,100,14.84949153,0.003389831,2016/7/5,股票/股票雷达跟投/002222福晶科技
国泰君安,czh,200,14.941056,0.0016,2016/7/4,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,600,15.748096,0.0016,2016/7/12,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,500,10.87910554,0.0016,2016/7/14,股票/股票雷达跟投/601599鹿港文化
蚂蚁聚宝,czh,0,0,0,2016/1/11,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,0,0,0.0008,2016/3/28,基金/纯债/000563南方通利债券a
国泰君安,czh,300,16.06834944,0.0016,2016/7/19,股票/股票雷达跟投/002440闰土股份
国泰君安,czh,300,26.95723264,0.0016,2016/7/13,股票/股票雷达跟投/002673西部证券
蚂蚁聚宝,czh,0,1.204,0.0008,2016/1/11,基金/纯债/270048广发纯债债券A
国泰君安,czh,100,38.23,0.001519749,2016/7/22,股票/股票雷达跟投/603959百利科技
蚂蚁聚宝,czh,8130,1.195498455,0.0008,2016/6/15,基金/可转债/519977长信可转债债券A
国泰君安,czh,1600,9.65,0.001520078,2016/8/2,股票/股票雷达跟投/600130波导股份
国泰君安,czh,1500,9.43,0.001519972,2016/8/2,股票/股票雷达跟投/600130波导股份
国泰君安,czh,2300,8.25,0.001499868,2016/8/2,股票/股票雷达跟投/002495佳隆股份
国泰君安,czh,500,26.84,0.0015,2016/8/4,股票/股票雷达跟投/300444双杰电气
国泰君安,czh,700,14.38,0.001500099,2016/8/4,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,500,14.38,0.001500695,2016/8/4,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,1500,14.48,0.0015,2016/8/4,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,100,21.23,0.002355158,2016/7/20,股票/股票雷达跟投/002276万马股份
国泰君安,czh,1000,1.469,0,2015/6/19,基金/长期/513100纳指EFT
国泰君安,czh,1000,1.39,0,2015/7/10,基金/长期/513100纳指EFT
国泰君安,czh,700,1.497,0,2015/8/10,基金/长期/513100纳指EFT
国泰君安,czh,200,1.467,0,2015/9/14,基金/长期/513100纳指EFT
国泰君安,czh,500,1.48,0,2015/10/16,基金/长期/513100纳指EFT
国泰君安,czh,100,1.565,0,2015/11/10,基金/长期/513100纳指EFT
国泰君安,czh,400,1.521,0,2016/1/11,基金/长期/513100纳指EFT
国泰君安,czh,800,1.515,0,2016/3/17,基金/长期/513100纳指EFT
国泰君安,czh,700,1.551,0,2016/4/18,基金/长期/513100纳指EFT
国泰君安,czh,500,1.517,0,2016/5/17,基金/长期/513100纳指EFT
国泰君安,czh,1200,1.548,0,2016/6/20,基金/长期/513100纳指EFT
国泰君安,czh,900,1.617,0.003628646,2016/7/18,基金/长期/513100纳指EFT
国泰君安,czh,800,1.166,0,2015/5/13,基金/长期/513500标普500
国泰君安,czh,900,1.157,0,2015/6/10,基金/长期/513500标普500
国泰君安,czh,1000,1.133,0,2015/7/10,基金/长期/513500标普500
国泰君安,czh,1100,1.168,0,2015/8/10,基金/长期/513500标普500
国泰君安,czh,400,1.172,0,2015/10/16,基金/长期/513500标普500
国泰君安,czh,400,1.21,0,2015/11/10,基金/长期/513500标普500
国泰君安,czh,500,1.177,0,2016/1/11,基金/长期/513500标普500
国泰君安,czh,800,1.212,0,2016/3/17,基金/长期/513500标普500
国泰君安,czh,900,1.231,0.004492767,2016/4/18,基金/长期/513500标普500
国泰君安,czh,400,1.243,0,2016/5/17,基金/长期/513500标普500
国泰君安,czh,1500,1.266,0,2016/6/20,基金/长期/513500标普500
国泰君安,czh,900,1.347,0.004107451,2016/7/18,基金/长期/513500标普500
财富证券,czh,100,15.4,0.003149351,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,1600,15.33,0.000201402,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,100,15.4,0.003149351,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,200,15.38,0.001547464,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,300,15.39,0.001035304,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,1200,15.34,0.000222729,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,700,25.23,0.000263292,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,300,25.323,0.000651582,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,300,22.5,0.000761481,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,800,22.4,0.000299107,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,500,14.26,0.000720898,2016/8/9,股票/股票雷达跟投/600872中炬高新
国泰君安,czh,1800,5.38,0.001520033,2016/7/27,股票/股票雷达跟投/600313农发种业
国泰君安,czh,500,5.37,0.001880819,2016/7/27,股票/股票雷达跟投/600313农发种业
财富证券,czh,400,22.8,0.000528509,2016/8/9,股票/股票雷达跟投/002772众兴菌业
财富证券,czh,200,40,0.000645,2016/8/9,股票/股票雷达跟投/600680上海普天
财富证券,czh,1000,8.63,0.000488992,2016/8/11,股票/股票雷达跟投/000554泰山石油
蚂蚁聚宝,czh,935.04,1.0684,0.001004272,2016/7/26,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,923.46,1.0818,0.001001975,2016/8/18,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,7903.2,1.264298006,0.0008,2016/4/8,基金/可转债/519977长信可转债债券A
蚂蚁聚宝,czh,228.02,1.195498455,0.0008,2016/6/15,基金/可转债/519977长信可转债债券A
财富证券,czh,500,15.8,0.001177215,2016/8/16,股票/股票雷达跟投/000055方大集团
国泰君安,czh,100,27.3167232,0.0016,2016/7/1,股票/股票雷达跟投/600571DR信雅达
财富证券,czh,300,16.75,0.000975124,2016/8/16,股票/股票雷达跟投/002440闰土股份
富国基金,czh,504.04,1.981,0,2016/3/17,基金/进取/100056富国低碳环保
富国基金,czh,497.01,2.012031951,0,2016/4/20,基金/进取/100056富国低碳环保
富国基金,czh,495.78,2.013998144,0.0015,2016/5/17,基金/进取/100056富国低碳环保
富国基金,czh,483.07,2.066988221,0.0015,2016/6/23,基金/进取/100056富国低碳环保
富国基金,czh,454.07,2.199000154,0.0015,2016/7/18,基金/进取/100056富国低碳环保
富国基金,czh,453.45,2.202,0.0015031,2016/8/18,基金/进取/100056富国低碳环保
天天基金,czh,5000,1,0,2016/9/29,基金/货币基金/hb09002货币-大成现金增利
支付宝,czh,-4.208045784,237.64,0,2016/6/16,基金/黄金ETFI/000930博时黄金ETFI
支付宝,czh,-4.214963119,237.25,0,2016/6/16,基金/黄金ETFI/000930博时黄金ETFI
支付宝,czh,-0.0349,237.25,0,2016/6/16,基金/黄金ETFI/000930博时黄金ETFI
国泰君安,czh,-2900,0.421,0,2016/6/27,基金/分级基金定投/150023深成指B
国泰君安,czh,-3000,0.398,0,2016/6/27,基金/分级基金定投/150023深成指B
国泰君安,czh,-100,24.41,0.002,2016/7/1,股票/股票雷达跟投/002405四维图新
富国基金,czh,-839,1.191895113,0,2016/7/1,基金/进取/161031富国中证工业4.0指数分级
淘宝理财,czh,-366.14,2.72300213,0.003,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-334.6760658,2.979,0.003,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-322.0284238,3.096,0.003,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-255.0524431,3.909,0.003,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-227.7815856,4.377,0.003,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-412.6655629,2.416,0.003,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-412.1537826,2.419,0.003,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-528.9124668,1.885,0.003,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-1800.85,1.371,0.006,2016/6/27,基金/进取/519670银河行业优选
银河基金,czh,-761.1026034,1.306,0.006,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-717.27,1.389992611,0.003,2016/6/27,基金/进取/519670银河行业优选
国泰君安,czh,-814,1.228501229,0,2016/7/1,基金/进取/161024军工etf
国泰君安,czh,-200,15.59031552,0.0016,2016/7/4,股票/股票雷达跟投/600837海通证券
国泰君安,czh,-100,17.0290591,0.003,2016/7/4,股票/股票雷达跟投/600171上海贝岭
富国基金,czh,-2706.48,0.761,0,2016/6/29,基金/进取/161024军工etf
国泰君安,czh,-100,16.74346752,0.0016,2016/7/5,股票/股票雷达跟投/600999招商证券
国泰君安,czh,-100,9.61,0.0054,2016/7/7,股票/股票雷达跟投/000939凯迪生态
国泰君安,czh,-100,8.749711995,0.005737143,2016/7/8,股票/股票雷达跟投/600491龙元建设
国泰君安,czh,-100,14.84949153,0.003389831,2016/7/8,股票/股票雷达跟投/002222福晶科技
国泰君安,czh,-200,14.941056,0.0016,2016/7/11,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,-600,15.748096,0.0016,2016/7/13,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,-500,10.87910554,0.0016,2016/7/15,股票/股票雷达跟投/601599鹿港文化
蚂蚁聚宝,czh,0,0,0,2016/7/18,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,0,0,0.0008,2016/7/18,基金/纯债/000563南方通利债券a
国泰君安,czh,-300,16.06834944,0.0016,2016/7/20,股票/股票雷达跟投/002440闰土股份
国泰君安,czh,-300,26.95723264,0.0016,2016/7/20,股票/股票雷达跟投/002673西部证券
蚂蚁聚宝,czh,0,1.204,0.0008,2016/7/20,基金/纯债/270048广发纯债债券A
国泰君安,czh,-100,38.23,0.001519749,2016/7/25,股票/股票雷达跟投/603959百利科技
蚂蚁聚宝,czh,-8130,1.195498455,0.0008,2016/7/21,基金/可转债/519977长信可转债债券A
国泰君安,czh,-1600,9.65,0.001520078,2016/8/3,股票/股票雷达跟投/600130波导股份
国泰君安,czh,-1500,9.43,0.001519972,2016/8/3,股票/股票雷达跟投/600130波导股份
国泰君安,czh,-2300,8.25,0.001499868,2016/8/4,股票/股票雷达跟投/002495佳隆股份
国泰君安,czh,-500,26.84,0.0015,2016/8/5,股票/股票雷达跟投/300444双杰电气
国泰君安,czh,-700,14.38,0.001500099,2016/8/5,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,-500,14.38,0.001500695,2016/8/5,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,-1500,14.48,0.0015,2016/8/5,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,-100,21.23,0.002355158,2016/8/8,股票/股票雷达跟投/002276万马股份
国泰君安,czh,-1000,1.469,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-1000,1.39,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-700,1.497,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-200,1.467,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-500,1.48,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-100,1.565,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-400,1.521,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-800,1.515,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-700,1.551,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-500,1.517,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-1200,1.548,0,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-900,1.617,0.003628646,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-800,1.166,0,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-900,1.157,0,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-1000,1.133,0,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-1100,1.168,0,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-400,1.172,0,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-400,1.21,0,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-500,1.177,0,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-800,1.212,0,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-900,1.231,0.004492767,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-400,1.243,0,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-1500,1.266,0,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-900,1.347,0.004107451,2016/8/8,基金/长期/513500标普500
财富证券,czh,-100,15.4,0.003149351,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-1600,15.33,0.000201402,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-100,15.4,0.003149351,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-200,15.38,0.001547464,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-300,15.39,0.001035304,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-1200,15.34,0.000222729,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-700,25.23,0.000263292,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,-300,25.323,0.000651582,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,-300,22.5,0.000761481,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,-800,22.4,0.000299107,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,-500,14.26,0.000720898,2016/8/9,股票/股票雷达跟投/600872中炬高新
国泰君安,czh,-1800,5.38,0.001520033,2016/8/12,股票/股票雷达跟投/600313农发种业
国泰君安,czh,-500,5.37,0.001880819,2016/8/12,股票/股票雷达跟投/600313农发种业
财富证券,czh,-400,22.8,0.000528509,2016/8/16,股票/股票雷达跟投/002772众兴菌业
财富证券,czh,-200,40,0.000645,2016/8/17,股票/股票雷达跟投/600680上海普天
财富证券,czh,-1000,8.63,0.000488992,2016/8/18,股票/股票雷达跟投/000554泰山石油
蚂蚁聚宝,czh,-935.04,1.0684,0.001004272,2016/8/31,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,-923.46,1.0818,0.001001975,2016/8/31,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,-7903.2,1.264298006,0.0008,2016/8/31,基金/可转债/519977长信可转债债券A
蚂蚁聚宝,czh,-228.02,1.195498455,0.0008,2016/8/31,基金/可转债/519977长信可转债债券A
财富证券,czh,-500,15.8,0.001177215,2016/9/1,股票/股票雷达跟投/000055方大集团
国泰君安,czh,-100,27.3167232,0.0016,2016/9/1,股票/股票雷达跟投/600571DR信雅达
财富证券,czh,-300,16.75,0.000975124,2016/9/2,股票/股票雷达跟投/002440闰土股份
富国基金,czh,-504.04,1.981,0,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-497.01,2.012031951,0,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-495.78,2.013998144,0.0015,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-483.07,2.066988221,0.0015,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-454.07,2.199000154,0.0015,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-453.45,2.202,0.0015031,2016/10/13,基金/进取/100056富国低碳环保
天天基金,czh,-5000,1,0,2016/10/20,基金/货币基金/hb09002货币-大成现金增利
