机构,户头,成交数量,成交单价,成交金额,成交日期,权益类持仓
蚂蚁聚宝,czh,-4.208045784,272.96,1148.628177,2016/6/16,基金/黄金ETFI/000930博时黄金ETFI
蚂蚁聚宝,czh,-4.214963119,272.96,1150.516333,2016/6/16,基金/黄金ETFI/000930博时黄金ETFI
蚂蚁聚宝,czh,-0.0349,272.96,9.526304,2016/6/16,基金/黄金ETFI/000930博时黄金ETFI
国泰君安,czh,-2900,0.418,1209.7756,2016/6/27,基金/分级基金定投/150023深成指B
国泰君安,czh,-3000,0.418,1251.492,2016/6/27,基金/分级基金定投/150023深成指B
国泰君安,czh,-100,25.35,2527.395,2016/7/1,股票/股票雷达跟投/002405四维图新
富国基金,czh,-839,1.036,863.988776,2016/7/1,基金/进取/161031富国中证工业4.0指数分级
淘宝理财,czh,-366.14,1.42,516.7992872,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-334.6760658,1.42,472.3885733,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-322.0284238,1.42,454.5366796,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-255.0524431,1.42,360.0014224,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-227.7815856,1.42,321.5091524,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-412.6655629,1.42,582.4691887,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-412.1537826,1.42,581.746821,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-528.9124668,1.42,746.5493687,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-1800.85,1.42,2557.207,2016/6/27,基金/进取/519670银河行业优选
银河基金,czh,-761.1026034,1.42,1074.281103,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-717.27,1.42,1012.41226,2016/6/27,基金/进取/519670银河行业优选
国泰君安,czh,-814,1.116,902.973456,2016/7/1,基金/进取/161024军工etf
国泰君安,czh,-200,15.86,3163.7528,2016/7/4,股票/股票雷达跟投/600837海通证券
国泰君安,czh,-100,17.25,1718.2725,2016/7/4,股票/股票雷达跟投/600171上海贝岭
富国基金,czh,-2706.48,1.117,3008.02816,2016/6/29,基金/进取/161024军工etf
国泰君安,czh,-100,17.48,1741.22,2016/7/5,股票/股票雷达跟投/600999招商证券
国泰君安,czh,-100,9.43,937.5048907,2016/7/7,股票/股票雷达跟投/000939凯迪生态
国泰君安,czh,-100,8.87,881,2016/7/8,股票/股票雷达跟投/600491龙元建设
国泰君安,czh,-100,15.41,1534.46,2016/7/8,股票/股票雷达跟投/002222福晶科技
国泰君安,czh,-200,14.95,2981.95,2016/7/11,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,-600,15.92,9527.93,2016/7/13,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,-500,11.17,5570.92,2016/7/15,股票/股票雷达跟投/601599鹿港文化
蚂蚁聚宝,czh,0,1.126,180.51,2016/7/18,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,0,1.05,383.58,2016/7/18,基金/纯债/000563南方通利债券a
国泰君安,czh,-300,16.41,4910,2016/7/20,股票/股票雷达跟投/002440闰土股份
国泰君安,czh,-300,26.61,7963.05,2016/7/20,股票/股票雷达跟投/002673西部证券
蚂蚁聚宝,czh,0,1.206,251.25,2016/7/20,基金/纯债/270048广发纯债债券A
国泰君安,czh,-100,37.31,3721.6,2016/7/25,股票/股票雷达跟投/603959百利科技
蚂蚁聚宝,czh,-8130,1.2378,10013,2016/7/21,基金/可转债/519977长信可转债债券A
国泰君安,czh,-1600,10.19,16262.91613,2016/8/3,股票/股票雷达跟投/600130波导股份
国泰君安,czh,-1500,10.19,15246.48387,2016/8/3,股票/股票雷达跟投/600130波导股份
国泰君安,czh,-2300,8.11,18606.37,2016/8/4,股票/股票雷达跟投/002495佳隆股份
国泰君安,czh,-500,27.62,13775.47,2016/8/5,股票/股票雷达跟投/300444双杰电气
国泰君安,czh,-700,14.28,9971.01,2016/8/5,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,-500,14.28,7122.15,2016/8/5,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,-1500,14.28,21366.45,2016/8/5,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,-100,18.46,1839.15,2016/8/8,股票/股票雷达跟投/002276万马股份
国泰君安,czh,-1000,1.684,1681.47375,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-1000,1.684,1681.47375,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-700,1.684,1177.031625,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-200,1.684,336.29475,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-500,1.684,840.736875,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-100,1.684,168.147375,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-400,1.684,672.5895,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-800,1.684,1345.179,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-700,1.684,1177.031625,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-500,1.684,840.736875,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-1200,1.684,2017.7685,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-900,1.684,1513.326375,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-800,1.397,1115.923333,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-900,1.397,1255.41375,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-1000,1.397,1394.904167,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-1100,1.397,1534.394583,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-400,1.397,557.9616667,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-400,1.397,557.9616667,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-500,1.397,697.4520833,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-800,1.397,1115.923333,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-900,1.397,1255.41375,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-400,1.397,557.9616667,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-1500,1.397,2092.35625,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-900,1.397,1255.41375,2016/8/8,基金/长期/513500标普500
财富证券,czh,-100,16.08,1605.954706,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-1600,16.08,25663.68,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-100,16.59,1654.8525,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-200,16.59,3309.705,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-300,16.59,4964.5575,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-1200,16.59,19858.23,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-700,26.15,18282.474,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,-300,26.15,7825.3875,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,-300,22.21,6654.537273,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,-800,22.21,17745.43273,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,-500,14.28,7127.72,2016/8/9,股票/股票雷达跟投/600872中炬高新
国泰君安,czh,-1800,5.21,9354.373043,2016/8/12,股票/股票雷达跟投/600313农发种业
国泰君安,czh,-500,5.21,2598.4875,2016/8/12,股票/股票雷达跟投/600313农发种业
财富证券,czh,-400,22.99,1148.628177,2016/8/16,股票/股票雷达跟投/002772众兴菌业
财富证券,czh,-200,39.99,7985.39,2016/8/17,股票/股票雷达跟投/600680上海普天
财富证券,czh,-1000,8.95,8936.23,2016/8/18,股票/股票雷达跟投/000554泰山石油
蚂蚁聚宝,czh,-935.04,1.0769,1001.908369,2016/8/31,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,-923.46,1.0769,989.5002378,2016/8/31,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,-7903.2,1.258,9892.513235,2016/8/31,基金/可转债/519977长信可转债债券A
蚂蚁聚宝,czh,-228.02,1.258,285.4148785,2016/8/31,基金/可转债/519977长信可转债债券A
财富证券,czh,-500,15.3,7637.35,2016/9/1,股票/股票雷达跟投/000055方大集团
国泰君安,czh,-100,22.59,2251.69,2016/9/1,股票/股票雷达跟投/600571DR信雅达
财富证券,czh,-300,15.5,4640.35,2016/9/2,股票/股票雷达跟投/002440闰土股份
富国基金,czh,-504.04,2.362,1200.301307,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-497.01,2.362,1183.560338,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-495.78,2.362,1180.631263,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-483.07,2.362,1150.364162,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-454.07,2.362,1081.304687,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-453.45,2.362,1079.828243,2016/10/13,基金/进取/100056富国低碳环保
天天基金,czh,-5000,1,5000,2016/10/20,基金/货币基金/hb09002货币-大成现金增利
蚂蚁聚宝,czh,4.208045784,237.64,1000,2015/3/6,基金/黄金ETFI/000930博时黄金ETFI
蚂蚁聚宝,czh,4.214963119,237.25,1000,2015/3/22,基金/黄金ETFI/000930博时黄金ETFI
蚂蚁聚宝,czh,0.0349,237.25,0,2015/3/22,基金/黄金ETFI/000930博时黄金ETFI
国泰君安,czh,2900,0.421,1220.9,2016/6/7,基金/分级基金定投/150023深成指B
国泰君安,czh,3000,0.398,1194,2016/6/14,基金/分级基金定投/150023深成指B
国泰君安,czh,100,24.41,2445.882,2016/6/29,股票/股票雷达跟投/002405四维图新
富国基金,czh,839,1.191895113,1000,2015/7/10,基金/进取/161031富国中证工业4.0指数分级
淘宝理财,czh,366.14,2.72300213,1000,2015/3/22,基金/进取/519670银河行业优选
淘宝理财,czh,334.6760658,2.979,1000,2015/4/7,基金/进取/519670银河行业优选
淘宝理财,czh,322.0284238,3.096,1000,2015/4/23,基金/进取/519670银河行业优选
淘宝理财,czh,255.0524431,3.909,1000,2015/5/25,基金/进取/519670银河行业优选
淘宝理财,czh,227.7815856,4.377,1000,2015/6/10,基金/进取/519670银河行业优选
淘宝理财,czh,412.6655629,2.416,1000,2015/6/10,基金/进取/519670银河行业优选
淘宝理财,czh,412.1537826,2.419,1000,2015/7/12,基金/进取/519670银河行业优选
淘宝理财,czh,528.9124668,1.885,1000,2015/9/7,基金/进取/519670银河行业优选
淘宝理财,czh,1800.85,1.371,0,2016/1/21,基金/进取/519670银河行业优选
银河基金,czh,761.1026034,1.306,1000,2016/3/21,基金/进取/519670银河行业优选
淘宝理财,czh,717.27,1.389992611,1000,2016/4/20,基金/进取/519670银河行业优选
国泰君安,czh,814,1.228501229,1000,2015/7/10,基金/进取/161024军工etf
国泰君安,czh,200,15.59031552,3123.06,2016/7/1,股票/股票雷达跟投/600837海通证券
国泰君安,czh,100,17.0290591,1708.03,2016/7/1,股票/股票雷达跟投/600171上海贝岭
富国基金,czh,2706.48,0.761,3943.121886,2016/2/3,基金/进取/161024军工etf
国泰君安,czh,100,16.74346752,1677.03,2016/7/1,股票/股票雷达跟投/600999招商证券
国泰君安,czh,100,9.61,919,2016/7/1,股票/股票雷达跟投/000939凯迪生态
国泰君安,czh,100,8.749711995,880.02,2016/7/5,股票/股票雷达跟投/600491龙元建设
国泰君安,czh,100,14.84949153,1490,2016/7/5,股票/股票雷达跟投/002222福晶科技
国泰君安,czh,200,14.941056,2993,2016/7/4,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,600,15.748096,9464,2016/7/12,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,500,10.87910554,5448.27,2016/7/14,股票/股票雷达跟投/601599鹿港文化
蚂蚁聚宝,czh,0,0,0,2016/1/11,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,0,0,0,2016/3/28,基金/纯债/000563南方通利债券a
国泰君安,czh,300,16.06834944,4828.23,2016/7/19,股票/股票雷达跟投/002440闰土股份
国泰君安,czh,300,26.95723264,8100.13,2016/7/13,股票/股票雷达跟投/002673西部证券
蚂蚁聚宝,czh,0,1.204,0,2016/1/11,基金/纯债/270048广发纯债债券A
国泰君安,czh,100,38.23,3828.81,2016/7/22,股票/股票雷达跟投/603959百利科技
蚂蚁聚宝,czh,8130,1.195498455,9727.18419,2016/6/15,基金/可转债/519977长信可转债债券A
国泰君安,czh,1600,9.65,15463.47,2016/8/2,股票/股票雷达跟投/600130波导股份
国泰君安,czh,1500,9.43,14166.5,2016/8/2,股票/股票雷达跟投/600130波导股份
国泰君安,czh,2300,8.25,19003.46,2016/8/2,股票/股票雷达跟投/002495佳隆股份
国泰君安,czh,500,26.84,13440.13,2016/8/4,股票/股票雷达跟投/300444双杰电气
国泰君安,czh,700,14.38,10081.1,2016/8/4,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,500,14.38,7200.79,2016/8/4,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,1500,14.48,21752.58,2016/8/4,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,100,21.23,2128,2016/7/20,股票/股票雷达跟投/002276万马股份
国泰君安,czh,1000,1.469,1469,2015/6/19,基金/长期/513100纳指EFT
国泰君安,czh,1000,1.39,1390,2015/7/10,基金/长期/513100纳指EFT
国泰君安,czh,700,1.497,1047.9,2015/8/10,基金/长期/513100纳指EFT
国泰君安,czh,200,1.467,293.4,2015/9/14,基金/长期/513100纳指EFT
国泰君安,czh,500,1.48,740,2015/10/16,基金/长期/513100纳指EFT
国泰君安,czh,100,1.565,156.5,2015/11/10,基金/长期/513100纳指EFT
国泰君安,czh,400,1.521,608.4,2016/1/11,基金/长期/513100纳指EFT
国泰君安,czh,800,1.515,1212,2016/3/17,基金/长期/513100纳指EFT
国泰君安,czh,700,1.551,1085.7,2016/4/18,基金/长期/513100纳指EFT
国泰君安,czh,500,1.517,758.5,2016/5/17,基金/长期/513100纳指EFT
国泰君安,czh,1200,1.548,1857.6,2016/6/20,基金/长期/513100纳指EFT
国泰君安,czh,900,1.617,1460.6,2016/7/18,基金/长期/513100纳指EFT
国泰君安,czh,800,1.166,932.8,2015/5/13,基金/长期/513500标普500
国泰君安,czh,900,1.157,1041.3,2015/6/10,基金/长期/513500标普500
国泰君安,czh,1000,1.133,1133,2015/7/10,基金/长期/513500标普500
国泰君安,czh,1100,1.168,1284.8,2015/8/10,基金/长期/513500标普500
国泰君安,czh,400,1.172,468.8,2015/10/16,基金/长期/513500标普500
国泰君安,czh,400,1.21,484,2015/11/10,基金/长期/513500标普500
国泰君安,czh,500,1.177,588.5,2016/1/11,基金/长期/513500标普500
国泰君安,czh,800,1.212,969.6,2016/3/17,基金/长期/513500标普500
国泰君安,czh,900,1.231,1112.9,2016/4/18,基金/长期/513500标普500
国泰君安,czh,400,1.243,497.2,2016/5/17,基金/长期/513500标普500
国泰君安,czh,1500,1.266,1899,2016/6/20,基金/长期/513500标普500
国泰君安,czh,900,1.347,1217.3,2016/7/18,基金/长期/513500标普500
财富证券,czh,100,15.4,1544.85,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,1600,15.33,24532.94,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,100,15.4,1544.85,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,200,15.38,3080.76,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,300,15.39,4621.78,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,1200,15.34,18412.1,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,700,25.23,17665.65,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,300,25.323,7601.85,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,300,22.5,6755.14,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,800,22.4,17925.36,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,500,14.26,7135.14,2016/8/9,股票/股票雷达跟投/600872中炬高新
国泰君安,czh,1800,5.38,9698.72,2016/7/27,股票/股票雷达跟投/600313农发种业
国泰君安,czh,500,5.37,2690.05,2016/7/27,股票/股票雷达跟投/600313农发种业
财富证券,czh,400,22.8,9124.82,2016/8/9,股票/股票雷达跟投/002772众兴菌业
财富证券,czh,200,40,8005.16,2016/8/9,股票/股票雷达跟投/600680上海普天
财富证券,czh,1000,8.63,8634.22,2016/8/11,股票/股票雷达跟投/000554泰山石油
蚂蚁聚宝,czh,935.04,1.0684,1000,2016/7/26,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,923.46,1.0818,1000,2016/8/18,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,7903.2,1.264298006,10000,2016/4/8,基金/可转债/519977长信可转债债券A
蚂蚁聚宝,czh,228.02,1.195498455,272.8158104,2016/6/15,基金/可转债/519977长信可转债债券A
财富证券,czh,500,15.8,7909.3,2016/8/16,股票/股票雷达跟投/000055方大集团
国泰君安,czh,100,27.3167232,2736.05,2016/7/1,股票/股票雷达跟投/600571DR信雅达
财富证券,czh,300,16.75,5029.9,2016/8/16,股票/股票雷达跟投/002440闰土股份
富国基金,czh,504.04,1.981,1000,2016/3/17,基金/进取/100056富国低碳环保
富国基金,czh,497.01,2.012031951,1000,2016/4/20,基金/进取/100056富国低碳环保
富国基金,czh,495.78,2.013998144,1000,2016/5/17,基金/进取/100056富国低碳环保
富国基金,czh,483.07,2.066988221,1000,2016/6/23,基金/进取/100056富国低碳环保
富国基金,czh,454.07,2.199000154,1000,2016/7/18,基金/进取/100056富国低碳环保
富国基金,czh,453.45,2.202,1000,2016/8/18,基金/进取/100056富国低碳环保
天天基金,czh,5000,1,5000,2016/9/29,基金/货币基金/hb09002货币-大成现金增利
